Year,Habitat_Region,Avg_Daily_Precip,Status,Plant_Species_Count
2026,Dry,25.5,Unsuitable,173
2026, Intermediate,25.5,Unsuitable,241
2026, Wet lowlands,25.5,Suitable,2
2026, Wet,25.5,Suitable,20
2026,Wet,25.5,Suitable,68
2026, Upcountry,25.5,Stable,8
2026, Dry home gardens,25.5,Unsuitable,2
2026, Dry zone margins,25.5,Unsuitable,1
2026,Intermediate,25.5,Unsuitable,9
2026, Dry,25.5,Unsuitable,18
2026, Wet home gardens,25.5,Suitable,3
2026, Arid,25.5,Stable,6
2026,Dry tank-bunds,25.5,Unsuitable,3
2026, cultivated,25.5,Stable,1
2026,Dry grasslands,25.5,Unsuitable,4
2026,Coastal,25.5,Likely Suitable,17
2026,Intermediate riverbanks,25.5,Unsuitable,2
2026, Dry riverine,25.5,Unsuitable,2
2026,Coastal estuaries,25.5,Likely Suitable,3
2026, lagoons,25.5,Stable,2
2026,Coastal wetlands,25.5,Suitable,2
2026, estuaries,25.5,Stable,2
2026,Coastal mangroves,25.5,Likely Suitable,4
2026,Coastal saline zones,25.5,Likely Suitable,2
2026,Wet-Intermediate transitions,25.5,Suitable,2
2026, low-country,25.5,Stable,2
2026,Wet and Intermediate forests,25.5,Suitable,2
2026,Lowland rainforest margins,25.5,Stable,2
2026, roadsides/grasslands,25.5,Stable,1
2026, cultivated and wild margins,25.5,Stable,1
2026, home-garden margins,25.5,Stable,2
2026, Wet forest margins,25.5,Suitable,2
2026, scrublands/home fences,25.5,Stable,1
2026, widely cultivated/home gardens,25.5,Stable,1
2026, riverine and deciduous zones,25.5,Stable,1
2026, Intermediate scrub and forest edges,25.5,Unsuitable,1
2026, Intermediate lowlands,25.5,Unsuitable,2
2026,Upcountry,25.5,Stable,5
2026, Intermediate montane margins,25.5,Unsuitable,1
2026, Intermediate forest margins,25.5,Unsuitable,2
2026, Intermediate scrublands,25.5,Unsuitable,2
2026, Intermediate forest edges,25.5,Unsuitable,1
2026,Wet-zone forest margins,25.5,Suitable,1
2026, Intermediate grasslands,25.5,Unsuitable,2
2026, riverine margins,25.5,Stable,1
2026,Wetlands,25.5,Suitable,11
2026, paddy margins,25.5,Stable,3
2026, lowlands,25.5,Stable,1
2026,Tanks,25.5,Stable,2
2026, ponds,25.5,Stable,3
2026, slow freshwater bodies,25.5,Stable,1
2026,Lakes,25.5,Stable,2
2026, tanks,25.5,Stable,1
2026, freshwater wetlands,25.5,Suitable,1
2026,Marshes,25.5,Stable,4
2026, stream edges,25.5,Stable,1
2026, wet lowlands,25.5,Suitable,1
2026, scrub margins,25.5,Stable,1
2026, Wet forest edges,25.5,Suitable,1
2026, Intermediate home gardens,25.5,Unsuitable,1
2026, canals,25.5,Stable,2
2026, paddy fields,25.5,Stable,1
2026, marsh edges,25.5,Stable,1
2026,Shallow freshwater wetlands,25.5,Suitable,1
2026, Intermediate disturbed soils,25.5,Unsuitable,1
